18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18
35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35
103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103
120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120
120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120
120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120
120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120
120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120
120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120
120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120
120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120
120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120
120,120,120,120,120,68,69,69,69,69,70,120,120,120,120,4,120,120,120,120,120
108,137,137,137,137,120,120,120,120,120,120,120,137,137,137,21,137,137,137,137,109
121,0,1,1,1,1,16,120,120,120,120,120,15,1,1,75,1,1,1,2,119
121,17,18,18,18,18,19,120,120,120,120,120,17,18,18,18,18,18,18,19,119
